feature_name,etf,overall_ic,ic_cv,n_neg_years,jackknife_pass,flips,gate_pass,n_valid
dual_thrust_range_ratio,300ETF,0.047958,0.983,2,True,1,True,3433
range_compression_3d,300ETF,0.008428,7.5937,7,False,3,False,3426
return_acceleration_3d,300ETF,-0.024728,2.1888,6,False,2,False,3430
volume_price_corr_5d,300ETF,-0.057452,1.3045,4,True,0,False,3435
gap_persistence_3d,300ETF,0.048578,0.9307,2,True,1,True,3432
close_trend_consistency_5d,300ETF,-0.004225,15.4462,8,False,4,False,3431
overnight_intraday_decomp_3d,300ETF,0.050332,1.4058,4,False,1,False,3432
position_in_3d_range,300ETF,-0.028512,2.0226,6,True,1,False,3433
body_accumulation_5d,300ETF,-0.026917,2.3794,5,True,1,False,3431
volume_weighted_return_3d,300ETF,-0.01054,6.1819,6,False,3,False,3430
higher_high_streak,300ETF,0.010367,6.2801,7,False,1,False,3435
range_expansion_velocity,300ETF,-0.011262,6.6411,8,False,5,False,3432
multi_day_vwap_deviation,300ETF,-0.006509,9.0449,9,False,4,False,3433
dual_thrust_range_ratio_5d,300ETF,0.077702,1.0407,4,False,2,False,3431
close_location_in_range_3d,300ETF,-0.03756,1.6878,2,True,1,True,3433
volume_trend_3d,300ETF,-0.004085,15.6994,5,False,2,False,3431
inside_day_count_5d,300ETF,-0.004274,10.1358,9,False,4,False,3431
atr_acceleration_3d,300ETF,0.014406,5.3891,8,False,3,False,3426
consecutive_close_direction,300ETF,-0.002762,21.5504,6,False,5,False,3430
range_position_momentum,300ETF,-0.033655,2.1639,8,True,1,False,3432
open_close_reversal_3d,300ETF,0.01021,5.7069,6,False,2,False,3432
dual_thrust_range_ratio,500ETF,0.078605,0.7977,1,True,0,True,3238
range_compression_3d,500ETF,0.014698,3.6689,4,False,3,False,3231
return_acceleration_3d,500ETF,-0.021586,2.425,7,False,2,False,3235
volume_price_corr_5d,500ETF,-0.010651,6.506,5,False,3,False,3240
gap_persistence_3d,500ETF,0.048094,1.3965,2,False,2,False,3237
close_trend_consistency_5d,500ETF,-0.025974,2.9332,7,True,1,False,3236
